;naive;KMP-br;KMP-brs;
100;522470;5780825;5582750;
200;518958;5833666;5796712;
300;516462;6019558;5943004;
400;519641;6102000;6005171;
500;517729;6182037;6115883;
600;514774;6265258;6253241;
700;515287;6325966;6329891;
800;506883;6392825;6433791;
900;504450;6476546;6554045;
1000;500450;6551221;6656258;
1100;499258;6580879;6786325;
1200;495145;6701354;6879300;
1300;489649;6788237;6969112;
1400;485846;6782112;6952704;
1500;473916;6885362;7212608;
1600;479666;6951658;7169520;
1700;466433;6942925;7304908;
1800;463612;7018341;7415774;
1900;460295;7094458;7493545;
2000;456637;7177370;7624037;
2100;455270;7367279;7843228;
2200;459050;7452729;7974866;
2300;457229;7531445;8068408;
2400;451362;7627845;8216462;
2500;448145;7664741;8277524;
2600;449866;7766679;8395504;
2700;446946;7762916;8357404;
2800;430945;7779670;8474949;
2900;427654;7854396;8576762;
3000;425658;7991191;8874374;
