;naive;KMP-br;KMP-brs;
100;304433;15414337;15764433;
200;306371;15822700;15966579;
300;304612;16008900;16286837;
400;304124;16256108;16618400;
500;317954;16241308;16760075;
600;296312;16491583;17028000;
700;295083;16576045;17319287;
800;307279;17060546;18066604;
900;297741;17267479;18328500;
1000;300120;17585366;18550850;
1100;290725;17487995;18710654;
1200;288787;17992366;19345041;
1300;292871;18344829;19621491;
1400;291462;18425366;19955541;
1500;290824;18734200;20414466;
1600;298337;18992279;20551937;
1700;288412;19088629;20899829;
1800;287654;19365333;21212633;
1900;285733;19573683;21680000;
2000;285116;19791204;22102600;
2100;288629;20110379;22485729;
2200;285254;20363583;22801795;
2300;282124;20514433;23182162;
2400;281820;20646037;23642583;
2500;280708;20983299;23735516;
2600;274520;20943366;24249645;
2700;278229;21574899;24422629;
2800;269754;21447012;24657958;
2900;269591;22002542;25384554;
3000;267704;22216341;25559358;
