;naive;KMP-br;KMP-brs;
100;303570;956404;965454;
200;299367;985275;977616;
300;300100;989958;998766;
400;298554;1015866;1036620;
500;297949;1021828;1055799;
600;314800;1032095;1070100;
700;297941;1039645;1081491;
800;297241;1052091;1105562;
900;292116;1075141;1146903;
1000;304695;1088541;1179171;
1100;293208;1114300;1168841;
1200;292758;1117249;1198737;
1300;290687;1133508;1216308;
1400;286304;1159324;1233575;
1500;285300;1168212;1254162;
1600;283741;1178766;1277162;
1700;282612;1189270;1307316;
1800;284075;1203683;1327833;
1900;283233;1209671;1340754;
2000;281741;1226787;1369299;
2100;280674;1236812;1386574;
2200;279429;1249537;1405633;
2300;278345;1276087;1426079;
2400;276971;1292445;1477600;
2500;280824;1328425;1501129;
2600;277425;1343754;1521187;
2700;275679;1361641;1543379;
2800;274879;1394891;1577191;
2900;273912;1374395;1584908;
3000;272458;1402391;1610633;
