;naive;KMP-br;KMP-brs;
100;5367862;29201904;27986954;
200;5368433;29147037;28068975;
300;5346020;29256995;28038537;
400;5388445;29293204;28131550;
500;5353725;29252912;28234808;
600;5348541;29288641;28231087;
700;5346054;29279104;28260866;
800;5366321;29308166;28371975;
900;5341474;29380995;28413729;
1000;5333824;29558845;28447174;
1100;5334658;29467550;28519599;
1200;5320970;29452825;28542120;
1300;5310808;29528100;28612208;
1400;5323045;29556662;28640695;
1500;5322383;29577966;28720274;
1600;5332408;29653916;28748712;
1700;5350245;29675695;28796412;
1800;5307066;29667525;28887266;
1900;5310937;29682350;28896087;
2000;5298250;29831104;29018245;
2100;5289937;29841937;29078608;
2200;5299787;29863499;29081629;
2300;5288249;29944412;29158729;
2400;5288854;29946979;29233745;
2500;5279379;30018033;29193583;
2600;5286049;30072541;29285120;
2700;5297695;30034712;29354004;
2800;5272479;30076033;29390616;
2900;5281666;30176004;29442708;
3000;5264716;30111437;29520150;
