;naive;KMP-br;KMP-brs;
100;3121595;623127545;618594087;
200;3115470;623961379;620318329;
300;3123337;625821533;620932533;
400;3104862;624755579;623354487;
500;3087000;631618416;627813758;
600;3121575;628593212;624700179;
700;3107033;627870866;627009658;
800;3121874;627510008;627744600;
900;3103666;630927016;630024316;
1000;3100716;629640670;630230675;
1100;3104374;631248791;632495358;
1200;3095433;632093225;633810133;
1300;3096812;634186321;634843691;
1400;3092641;632685024;636817937;
1500;3091966;634195024;638244374;
1600;3117620;635006720;640569437;
1700;3120229;636385441;641655095;
1800;3088845;635704445;643285858;
1900;3090508;637088870;642857024;
2000;3108916;642525820;645428379;
2100;3083712;641518358;646384454;
2200;3122479;642294879;650537258;
2300;3089479;640531841;647688695;
2400;3079020;641511695;649381337;
2500;3088583;641901441;651062133;
2600;3102687;644645554;652662683;
2700;3073212;645129766;654158837;
2800;3104016;646870208;654897399;
2900;3103583;646738087;657888325;
3000;3075770;646894270;661137391;
