;naive;KMP-br;KMP-brs;
100;3119037;155593016;154664266;
200;3110933;155728220;154834374;
300;3118729;155674862;154981625;
400;3109170;157297220;155817724;
500;3130958;157012162;156592433;
600;3114295;157019871;156917745;
700;3110179;157791945;156952925;
800;3100741;157944637;156634170;
900;3129762;157811158;157779166;
1000;3104829;157195304;157968350;
1100;3105091;157377696;158167491;
1200;3101304;157854687;158264612;
1300;3096374;158151975;158731316;
1400;3098508;157975708;158877579;
1500;3091208;158412354;159246354;
1600;3112937;158722204;159644520;
1700;3100149;158695395;160657874;
1800;3085487;159273604;160254533;
1900;3089150;160449554;161228487;
2000;3084104;160324079;161122308;
2100;3089395;160106241;161840171;
2200;3123633;159701095;161613716;
2300;3100762;160483687;162735737;
2400;3123537;161141362;163093129;
2500;3128599;161852600;163069179;
2600;3079137;160646008;163090500;
2700;3077254;160927095;164525775;
2800;3086312;162152187;163815824;
2900;3085349;161974645;164586679;
3000;3084154;161808612;165098483;
