;naive;KMP-br;KMP-brs;
100;3126216;38943383;38804637;
200;3148058;38865121;38840771;
300;3127125;39054537;38780100;
400;3113695;38955112;38804729;
500;3102166;38968325;39111296;
600;3102316;39490950;39258316;
700;3115879;39262308;39619579;
800;3108637;39178008;39220812;
900;3118675;39252004;39382333;
1000;3105341;39408113;39539475;
1100;3102945;39548754;39819979;
1200;3101825;39782141;39835141;
1300;3094158;39504254;39670370;
1400;3091921;39543012;39719974;
1500;3130575;39625487;39906083;
1600;3096679;39678954;39829546;
1700;3086887;39685958;39977433;
1800;3088591;39805387;40248529;
1900;3098846;40071412;40169366;
2000;3085725;39874462;40205308;
2100;3105320;40093245;40376012;
2200;3079283;40381146;40358641;
2300;3086462;40342808;40740583;
2400;3089066;40310583;40697524;
2500;3080987;40204295;40876108;
2600;3079212;40233925;40791716;
2700;3087833;40296437;41184279;
2800;3124320;40478341;40903833;
2900;3067662;40628004;40988271;
3000;3069512;40752891;41136146;
