;naive;KMP-br;KMP-brs;
100;3120429;9781183;9774537;
200;3121712;9732250;9690758;
300;3104625;9773316;9674370;
400;3108245;9801416;9688562;
500;3104500;9855558;9728179;
600;3118074;9842083;9840216;
700;3161375;9778091;9791891;
800;3101020;9848825;9780516;
900;3097058;9907795;9860833;
1000;3120004;9893429;9886958;
1100;3109103;9856962;9890970;
1200;3122600;9844883;9885704;
1300;3098354;9848804;9887533;
1400;3091220;9856233;9958891;
1500;3092471;9975658;9976645;
1600;3093016;9972970;9980454;
1700;3097408;9916508;9978637;
1800;3087029;9918166;10064879;
1900;3085866;9958166;10064800;
2000;3083762;9987995;10029870;
2100;3092966;10075033;10073508;
2200;3112850;9987537;10113275;
2300;3117650;10002391;10125762;
2400;3110820;10064278;10122329;
2500;3104916;10064145;10266745;
2600;3079887;10051020;10178775;
2700;3106566;10108954;10313333;
2800;3075562;10099400;10360329;
2900;3072079;10137133;10348408;
3000;3083133;10100516;10276862;
