;naive;KMP-br;KMP-brs;
100;308212;62598416;61953783;
200;306179;62959645;63651104;
300;301395;64008254;64952041;
400;308245;65664412;66131191;
500;302749;66271483;67813708;
600;301795;67106491;68800283;
700;296054;67524650;70464879;
800;300762;68338279;72081808;
900;293299;69629504;72740887;
1000;292821;70534345;74418562;
1100;299420;71599245;76002845;
1200;294871;72691895;77107037;
1300;295353;73353874;78850192;
1400;293479;73975758;80751271;
1500;298479;75455883;82066183;
1600;290100;75888408;82895808;
1700;284045;76683621;84274645;
1800;289991;77825458;86148254;
1900;287946;78774629;87381954;
2000;284574;79260624;88664341;
2100;286237;80013499;90102024;
2200;284883;81312474;91123624;
2300;281129;81746862;93463816;
2400;296058;85314720;96261083;
2500;283620;84772846;95442854;
2600;277362;85516437;96695783;
2700;275841;85941391;98790137;
2800;279825;87560733;100463429;
2900;272166;87924354;100808112;
3000;273274;88551233;102736129;
