;naive;KMP-br;KMP-brs;
100;309562;3889316;3904824;
200;306545;3971291;3988745;
300;304537;4015770;4080200;
400;297941;4002000;4173366;
500;303162;4127187;4276879;
600;302012;4200899;4370124;
700;302258;4263691;4453171;
800;299183;4330045;4539016;
900;307179;4374208;4614750;
1000;299125;4477029;4681983;
1100;296053;4481716;4719770;
1200;288508;4465950;4836883;
1300;287233;4536625;4868325;
1400;286133;4586804;4928524;
1500;291058;4683300;5125829;
1600;291679;4708308;5197079;
1700;291387;4830112;5296612;
1800;289354;4864854;5402520;
1900;288387;4910378;5483408;
2000;286912;5017991;5578337;
2100;288379;5051079;5657366;
2200;285187;5077554;5727141;
2300;283858;5142850;5818870;
2400;282495;5187350;5923104;
2500;277841;5182020;5923395;
2600;277149;5306229;6055374;
2700;276966;5324829;6028920;
2800;273958;5353708;6184208;
2900;270728;5436791;6228245;
3000;269370;5481820;6312153;
