;naive;KMP-br;KMP-brs;
100;526133;730050;705650;
200;518187;744129;710779;
300;514837;754145;721166;
400;525403;746570;743612;
500;516912;754224;765320;
600;516008;783108;770095;
700;503625;788020;773258;
800;511954;785887;793729;
900;502912;791291;803983;
1000;491445;801941;827820;
1100;488941;813312;822258;
1200;485000;815570;837245;
1300;482675;835266;866837;
1400;486858;851524;876212;
1500;484162;838562;888945;
1600;483916;850524;890999;
1700;469041;860112;898295;
1800;463366;865150;910383;
1900;459720;875304;929070;
2000;461787;879650;935875;
2100;457862;889370;955087;
2200;450466;897062;970287;
2300;480658;905404;979612;
2400;443591;917187;991733;
2500;445662;924175;1019599;
2600;449366;951024;1034074;
2700;433899;945383;1032229;
2800;432337;953883;1054325;
2900;428924;962666;1057337;
3000;423629;989487;1093812;
