;naive;KMP-br;KMP-brs;
100;5391783;7219292;6990320;
200;5417391;7308837;7024304;
300;5364449;7280212;7034783;
400;5362666;7303662;7032058;
500;5361424;7311162;7043891;
600;5353020;7296291;7055787;
700;5349896;7313987;7094120;
800;5366258;7342766;7094716;
900;5344970;7331474;7076970;
1000;5336849;7344458;7078433;
1100;5341116;7381091;7107062;
1200;5329021;7354845;7156912;
1300;5322516;7376087;7140591;
1400;5347637;7385750;7145654;
1500;5313050;7380249;7169446;
1600;5318954;7429291;7174537;
1700;5310954;7402199;7216150;
1800;5304562;7419274;7211216;
1900;5282454;7404608;7210837;
2000;5298833;7439783;7250654;
2100;5296041;7459325;7239387;
2200;5299387;7437912;7292883;
2300;5287062;7474237;7270787;
2400;5317970;7463258;7274845;
2500;5279583;7472729;7296920;
2600;5293666;7482212;7326308;
2700;5283253;7482754;7363637;
2800;5277870;7509829;7347162;
2900;5293054;7511345;7350816;
3000;5277249;7517858;7370979;
