;naive;KMP-br;KMP-brs;
100;5347066;58214220;56004750;
200;5364954;58332008;56145387;
300;5362124;58391337;56087025;
400;5356733;58452175;56182341;
500;5358024;58576970;56402979;
600;5326304;58593412;56406974;
700;5347354;58589487;56597587;
800;5347958;59020195;56610150;
900;5338558;58815204;56744812;
1000;5336241;58922803;56871679;
1100;5381783;58894466;57032125;
1200;5325587;59018579;57111516;
1300;5325583;59085071;57256091;
1400;5323479;59147670;57345516;
1500;5317574;59247904;57436970;
1600;5341004;59300758;57614662;
1700;5315762;59370712;57666420;
1800;5307037;59500516;57749096;
1900;5305204;59550433;57877445;
2000;5296796;59625812;57989695;
2100;5299974;59657533;58124716;
2200;5291366;59769512;58295033;
2300;5299691;59874641;58332895;
2400;5308271;59913579;58464391;
2500;5304712;59971941;58588533;
2600;5280291;60058141;58663270;
2700;5276333;60190129;58746699;
2800;5291508;60243904;58814662;
2900;5311754;60239675;58917187;
3000;5270246;60373170;59075329;
