;naive;KMP-br;KMP-brs;
100;529375;1454733;1404358;
200;519595;1488937;1441862;
300;515229;1485312;1446454;
400;511192;1501320;1473412;
500;509387;1540845;1509779;
600;514962;1539974;1536812;
700;512925;1579408;1556346;
800;506691;1577720;1577191;
900;495049;1598704;1606029;
1000;492691;1610783;1626149;
1100;489770;1621729;1659370;
1200;487112;1642216;1713512;
1300;491616;1685700;1744308;
1400;486775;1680021;1730845;
1500;473591;1701950;1784925;
1600;478691;1719850;1784858;
1700;466746;1726049;1814091;
1800;463191;1769058;1861950;
1900;473791;1763946;1863158;
2000;461695;1777058;1892399;
2100;456008;1797096;1917412;
2200;451358;1856287;1966329;
2300;455712;1852158;1973262;
2400;443746;1856308;2034316;
2500;449445;1878287;2047583;
2600;447745;1921508;2088399;
2700;436870;1912408;2079129;
2800;431750;1921933;2099708;
2900;426820;1943608;2125429;
3000;422829;2155066;2170174;
