;naive;KMP-br;KMP-brs;
100;2278020;2439008;2434095;
200;2297179;2443841;2447066;
300;2321037;2459483;2449762;
400;2324424;2406483;2448450;
500;2308045;2414158;2461437;
600;2292875;2464554;2468445;
700;2291783;2465750;2478383;
800;2294150;2509554;2485895;
900;2299970;2474412;2490141;
1000;2317387;2465287;2490204;
1100;2328203;2479208;2482925;
1200;2323804;2489441;2486712;
1300;2327612;2473566;2490762;
1400;2318500;2507866;2495233;
1500;2315942;2476320;2499079;
1600;2316866;2499991;2508887;
1700;2328862;2502700;2511400;
1800;2292587;2529258;2517941;
1900;2308762;2514958;2538420;
2000;2287674;2526054;2522933;
2100;2279037;2516583;2527329;
2200;2319979;2511125;2532791;
2300;2282200;2502291;2547550;
2400;2296383;2515195;2544362;
2500;2286758;2512412;2551624;
2600;2286254;2512504;2561225;
2700;2271716;2517241;2565537;
2800;2269941;2518641;2574937;
2900;2287341;2527779;2579583;
3000;2293891;2542945;2607637;
