;naive;KMP-br;KMP-brs;
100;228495;246116;245275;
200;226616;249554;251020;
300;227641;252112;255716;
400;227474;256012;261862;
500;226137;260483;269045;
600;225454;263487;275229;
700;231296;275804;278354;
800;226174;271266;284587;
900;222362;275558;290079;
1000;221308;279112;296479;
1100;220329;283179;301775;
1200;219437;286420;307058;
1300;218491;290166;313129;
1400;217149;294341;318300;
1500;219637;298224;323837;
1600;214812;301570;330079;
1700;213920;305608;335508;
1800;212933;309608;343516;
1900;214095;313158;346437;
2000;211795;316724;352395;
2100;210266;321004;358616;
2200;213845;326054;366395;
2300;208504;328916;376841;
2400;207066;332070;376762;
2500;205846;339708;385395;
2600;208591;341629;396175;
2700;203379;355133;394808;
2800;202904;347470;402008;
2900;207595;348420;398162;
3000;195137;345866;411674;
