;naive;KMP-br;KMP-brs;
100;1215591;905512;776708;
200;794933;662774;584133;
300;612266;533341;485845;
400;505666;458433;426983;
500;450983;413945;399575;
600;415908;395691;391337;
700;394020;395216;401300;
800;384154;389287;391308;
900;379783;391367;395333;
1000;377933;392908;401633;
1100;380175;396546;408245;
1200;377108;407837;419491;
1300;366883;404229;418800;
1400;364016;411570;438871;
1500;363383;410841;439171;
1600;377399;414229;436737;
1700;362558;422225;443012;
1800;359416;426862;462437;
1900;353562;425316;455508;
2000;349112;437879;460983;
2100;345920;433166;478437;
2200;342879;436708;476550;
2300;344871;444012;479999;
2400;338700;454579;485908;
2500;334900;455721;494304;
2600;332291;454945;511462;
2700;329641;455499;504458;
2800;333020;462341;508708;
2900;330591;481216;517166;
3000;327074;476191;537141;
